id,product_name,return_amount,total_sold,date
1,Bread - French Baquette,54,94,19/09/2019
2,Chambord Royal,78,86,07/01/2019
3,"Beans - Turtle, Black, Dry",23,23,23/01/2020
4,Squash - Sunburst,55,59,03/09/2019
5,"Flour - Buckwheat, Dark",52,98,18/05/2019
6,Olives - Morracan Dired,74,15,04/03/2019
7,Tea - Decaf 1 Cup,16,5,07/04/2020
8,Potatoes - Pei 10 Oz,27,84,05/01/2020
9,Shrimp - 150 - 250,1,56,23/08/2019
10,"Pepper - White, Ground",64,36,14/02/2019
11,Squeeze Bottle,94,64,04/01/2020
12,Beer - Sleeman Fine Porter,71,20,30/01/2020
13,"Jam - Blackberry, 20 Ml Jar",91,99,26/12/2019
14,Radish - Pickled,49,81,30/12/2019
15,Salmon Steak - Cohoe 8 Oz,40,99,21/10/2019
16,Sprouts - Onion,50,62,19/01/2020
17,Buffalo - Tenderloin,56,31,22/10/2019
18,Wine - Mondavi Coastal Private,53,23,10/04/2019
19,"Fish - Scallops, Cold Smoked",19,76,22/10/2019
20,Lettuce - Sea / Sea Asparagus,14,32,09/01/2019
21,Longos - Lasagna Veg,36,93,05/02/2019
22,Fib N9 - Prague Powder,13,78,11/02/2019
23,Juice - Propel Sport,33,60,13/02/2020
24,Syrup - Chocolate,54,31,19/07/2019
25,Juice - Lime,31,41,13/11/2019
26,Wine - Rhine Riesling Wolf Blass,24,69,16/03/2019
27,Gatorade - Xfactor Berry,49,18,10/01/2020
28,Fiddlehead - Frozen,93,27,28/02/2020
29,Wine - Rioja Campo Viejo,18,73,17/08/2019
30,"Lemonade - Strawberry, 591 Ml",40,1,07/10/2019
31,Cheese Cloth No 100,24,17,24/03/2020
32,Peppercorns - Green,35,31,14/09/2019
33,Wine - Redchard Merritt,77,24,18/01/2019
34,"Veal - Round, Eye Of",75,40,16/05/2019
35,"Bread - Dark Rye, Loaf",87,19,08/02/2020
36,Cake - Cake Sheet Macaroon,89,40,19/03/2020
37,Chervil - Fresh,100,48,15/05/2019
38,Evaporated Milk - Skim,8,19,05/02/2020
39,"Oil - Shortening,liqud, Fry",35,35,19/05/2019
40,Wine - Taylors Reserve,70,84,02/01/2019
41,"Flour - Bran, Red",5,61,05/12/2019
42,Shrimp - Tiger 21/25,39,39,21/02/2019
43,"Nut - Chestnuts, Whole",42,96,24/03/2019
44,Muffin - Zero Transfat,79,33,16/11/2019
45,"Soup - Campbells, Butternut",66,25,06/11/2019
46,"Mustard - Dry, Powder",63,35,23/04/2019
47,Dried Peach,56,7,19/08/2019
48,"Juice - Pineapple, 48 Oz",65,71,26/03/2020
49,Venison - Striploin,13,28,16/02/2019
50,Bread - Petit Baguette,34,48,15/05/2019
51,Sprouts - Bean,12,31,06/05/2019
52,The Pop Shoppe - Root Beer,16,66,25/01/2020
53,Port - 74 Brights,1,53,09/04/2019
54,Port - 74 Brights,2,87,31/05/2019
55,Salt - Table,3,80,07/03/2020
56,Pate - Peppercorn,18,89,17/01/2020
57,Longos - Chicken Wings,60,73,06/01/2020
58,"Coconut - Shredded, Sweet",53,74,02/03/2019
59,Ketchup - Tomato,42,37,13/12/2019
60,Bagel - 12 Grain Preslice,15,23,03/02/2019
61,Puree - Raspberry,94,43,27/03/2020
62,"Beef - Rib Roast, Cap On",35,73,13/01/2020
63,Water - Aquafina Vitamin,61,1,01/10/2019
64,"Marjoram - Dried, Rubbed",88,75,19/01/2020
